country,date,incidents,,,,
Iran,1994,43,,,,
Iran,1995,8,,,,
Iran,1996,3,,,,
Iran,1998,5,,,,
Iran,1999,8,,,,
Iran,2000,15,,,,
Iran,2001,4,,,,
Iran,2003,2,,,,
Iran,2005,5,,,,
Iran,2006,14,,,,
Iran,2007,9,,,,
Iran,2008,8,,,,
Iran,2009,15,,,,
Iran,2010,14,,,,
Iran,2011,13,,,,
Iran,2012,5,,,,
Iran,2013,11,,,,
Iran,2014,9,,,,
Iran,2015,9,,,,
Iran,2016,10,,,,
Iran,2017,11,,,,
Saudi Arabia,1977,1,,,,
Saudi Arabia,1979,1,,,,
Saudi Arabia,1984,2,,,,
Saudi Arabia,1985,2,,,,
Saudi Arabia,1986,1,,,,
Saudi Arabia,1988,1,,,,
Saudi Arabia,1989,3,,,,
Saudi Arabia,1991,2,,,,
Saudi Arabia,1994,2,,,,
Saudi Arabia,1995,3,,,,
Saudi Arabia,1996,1,,,,
Saudi Arabia,2000,5,,,,
Saudi Arabia,2001,3,,,,
Saudi Arabia,2002,2,,,,
Saudi Arabia,2003,8,,,,
Saudi Arabia,2004,17,,,,
Saudi Arabia,2005,1,,,,
Saudi Arabia,2006,3,,,,
Saudi Arabia,2007,1,,,,
Saudi Arabia,2009,3,,,,
Saudi Arabia,2011,2,,,,
Saudi Arabia,2012,6,,,,
Saudi Arabia,2013,6,,,,
Saudi Arabia,2014,14,,,,
Saudi Arabia,2015,103,,,,
Saudi Arabia,2016,124,,,,
Saudi Arabia,2017,54,,,,
Turkey,1970,12,,,,
Turkey,1971,35,,,,
Turkey,1972,9,,,,
Turkey,1974,1,,,,
Turkey,1975,10,,,,
Turkey,1976,35,,,,
Turkey,1977,189,,,,
Turkey,1978,52,,,,
Turkey,1979,141,,,,
Turkey,1980,95,,,,
Turkey,1981,8,,,,
Turkey,1982,5,,,,
Turkey,1983,5,,,,
Turkey,1984,19,,,,
Turkey,1985,2,,,,
Turkey,1986,7,,,,
Turkey,1987,43,,,,
Turkey,1988,42,,,,
Turkey,1989,114,,,,
Turkey,1990,195,,,,
Turkey,1991,293,,,,
Turkey,1992,514,,,,
Turkey,1994,300,,,,
Turkey,1995,133,,,,
Turkey,1996,54,,,,
Turkey,1997,44,,,,
Turkey,1998,23,,,,
Turkey,1999,109,,,,
Turkey,2000,35,,,,
Turkey,2001,19,,,,
Turkey,2002,5,,,,
Turkey,2003,19,,,,
Turkey,2004,27,,,,
Turkey,2005,41,,,,
Turkey,2006,43,,,,
Turkey,2007,29,,,,
Turkey,2008,32,,,,
Turkey,2009,13,,,,
Turkey,2010,20,,,,
Turkey,2011,51,,,,
Turkey,2012,188,,,,
Turkey,2013,42,,,,
Turkey,2014,94,,,,
Turkey,2015,422,,,,
Turkey,2016,542,,,,
Turkey,2017,181,,,,
Egypt,1970,1,,,,
Egypt,1971,1,,,,
Egypt,1972,1,,,,
Egypt,1977,1,,,,
Egypt,1978,2,,,,
Egypt,1979,1,,,,
Egypt,1980,5,,,,
Egypt,1981,9,,,,
Egypt,1982,1,,,,
Egypt,1985,2,,,,
Egypt,1986,4,,,,
Egypt,1987,7,,,,
Egypt,1988,9,,,,
Egypt,1989,7,,,,
Egypt,1990,13,,,,
Egypt,1991,10,,,,
Egypt,1992,79,,,,
Egypt,1994,143,,,,
Egypt,1995,102,,,,
Egypt,1996,51,,,,
Egypt,1997,22,,,,
Egypt,1998,3,,,,
Egypt,1999,1,,,,
Egypt,2004,3,,,,
Egypt,2005,2,,,,
Egypt,2006,5,,,,
Egypt,2008,1,,,,
Egypt,2009,2,,,,
Egypt,2010,2,,,,
Egypt,2011,18,,,,
Egypt,2012,49,,,,
Egypt,2013,321,,,,
Egypt,2014,354,,,,
Egypt,2015,647,,,,
Egypt,2016,376,,,,
Egypt,2017,224,,,,
Syria,1974,4,,,,
Syria,1975,2,,,,
Syria,1976,2,,,,
Syria,1977,3,,,,
Syria,1978,1,,,,
Syria,1979,28,,,,
Syria,1980,33,,,,
Syria,1981,41,,,,
Syria,1982,20,,,,
Syria,1983,1,,,,
Syria,1984,1,,,,
Syria,1985,1,,,,
Syria,1986,4,,,,
Syria,1989,1,,,,
Syria,1996,2,,,,
Syria,1997,1,,,,
Syria,1998,1,,,,
Syria,2004,1,,,,
Syria,2006,1,,,,
Syria,2008,1,,,,
Syria,2011,49,,,,
Syria,2012,180,,,,
Syria,2013,285,,,,
Syria,2014,331,,,,
Syria,2015,491,,,,
Syria,2016,473,,,,
Syria,2017,243,,,,
Lebanon,1970,1,,,,
Lebanon,1971,1,,,,
Lebanon,1972,3,,,,
Lebanon,1973,11,,,,
Lebanon,1974,11,,,,
Lebanon,1975,15,,,,
Lebanon,1976,4,,,,
Lebanon,1977,4,,,,
Lebanon,1978,12,,,,
Lebanon,1979,38,,,,
Lebanon,1980,86,,,,
Lebanon,1981,81,,,,
Lebanon,1982,120,,,,
Lebanon,1983,234,,,,
Lebanon,1984,166,,,,
Lebanon,1985,95,,,,
Lebanon,1986,106,,,,
Lebanon,1987,94,,,,
Lebanon,1988,125,,,,
Lebanon,1989,141,,,,
Lebanon,1990,84,,,,
Lebanon,1991,91,,,,
Lebanon,1992,91,,,,
Lebanon,1994,67,,,,
Lebanon,1995,38,,,,
Lebanon,1996,39,,,,
Lebanon,1997,46,,,,
Lebanon,1998,23,,,,
Lebanon,1999,42,,,,
Lebanon,2000,12,,,,
Lebanon,2001,5,,,,
Lebanon,2002,8,,,,
Lebanon,2003,5,,,,
Lebanon,2004,1,,,,
Lebanon,2005,17,,,,
Lebanon,2006,8,,,,
Lebanon,2007,18,,,,
Lebanon,2008,58,,,,
Lebanon,2009,14,,,,
Lebanon,2010,5,,,,
Lebanon,2011,10,,,,
Lebanon,2012,15,,,,
Lebanon,2013,121,,,,
Lebanon,2014,204,,,,
Lebanon,2015,44,,,,
Lebanon,2016,41,,,,
Lebanon,2017,23,,,,
Jordan,1970,9,,,,
Jordan,1971,5,,,,
Jordan,1972,7,,,,
Jordan,1973,1,,,,
Jordan,1976,1,,,,
Jordan,1980,1,,,,
Jordan,1981,2,,,,
Jordan,1982,1,,,,
Jordan,1983,7,,,,
Jordan,1984,5,,,,
Jordan,1988,1,,,,
Jordan,1990,3,,,,
Jordan,1991,11,,,,
Jordan,1992,2,,,,
Jordan,1994,6,,,,
Jordan,1995,3,,,,
Jordan,1996,2,,,,
Jordan,1997,3,,,,
Jordan,1998,1,,,,
Jordan,1999,2,,,,
Jordan,2000,2,,,,
Jordan,2001,2,,,,
Jordan,2002,2,,,,
Jordan,2005,4,,,,
Jordan,2006,1,,,,
Jordan,2010,2,,,,
Jordan,2012,2,,,,
Jordan,2013,1,,,,
Jordan,2014,3,,,,
Jordan,2015,4,,,,
Jordan,2016,9,,,,
Jordan,2017,8,,,,
Palestine,1972,1,,,,
Palestine,1976,1,,,,
Palestine,1978,4,,,,
Palestine,1979,22,,,,
Palestine,1980,56,,,,
Palestine,1981,17,,,,
Palestine,1982,39,,,,
Palestine,1983,34,,,,
Palestine,1984,26,,,,
Palestine,1985,1,,,,
Palestine,1986,13,,,,
Palestine,1987,11,,,,
Palestine,1988,18,,,,
Palestine,1989,100,,,,
Palestine,1990,88,,,,
Palestine,1991,83,,,,
Palestine,1992,119,,,,
Palestine,1994,165,,,,
Palestine,1995,67,,,,
Palestine,1996,30,,,,
Palestine,1997,22,,,,
Palestine,1998,12,,,,
Palestine,1999,11,,,,
Palestine,2000,28,,,,
Palestine,2001,123,,,,
Palestine,2002,86,,,,
Palestine,2003,45,,,,
Palestine,2004,34,,,,
Palestine,2005,38,,,,
Palestine,2006,35,,,,
Palestine,2007,88,,,,
Palestine,2008,63,,,,
Palestine,2009,10,,,,
Palestine,2010,11,,,,
Palestine,2011,20,,,,
Palestine,2012,23,,,,
Palestine,2013,64,,,,
Palestine,2014,133,,,,
Palestine,2015,246,,,,
Palestine,2016,157,,,,
Palestine,2017,83,,,,
