,GTD ID,DATE,REGION,COUNTRY,CITY,Latitude,Longitude,PERPETRATOR GROUP,ATTACK TYPE,WEAPON TYPE,TARGET TYPE,FATALITIES,INJURED
24,201710150041,10/15/17,Middle East & North Africa,West Bank and Gaza Strip,Jerusalem,31.78004,35.21874,Unknown,Armed Assault,Incendiary,Police,0,1
25,201710040061,10/4/17,Middle East & North Africa,Israel,Kafr Qassem,,,Palestinian Extremists,Armed Assault,"Melee,Melee",Private Citizens & Property,1,0
26,201709260013,9/26/17,Middle East & North Africa,West Bank and Gaza Strip,Har Adar,31.82767,35.12869,Palestinian Extremists,Armed Assault,Firearms,"Police,Police",4,1
27,201709170019,9/17/17,Middle East & North Africa,West Bank and Gaza Strip,Bethlehem,31.70425,35.2063,Palestinian Extremists,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,1
28,201709130020,9/13/17,Middle East & North Africa,West Bank and Gaza Strip,Kiryat Arba,31.54298,35.12239,Palestinian Extremists,Armed Assault,Melee,Military,0,1
29,201709090013,9/9/17,Middle East & North Africa,Israel,Sajur,32.94094,35.34423,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
30,201709020019,9/2/17,Middle East & North Africa,West Bank and Gaza Strip,Nili,31.96374,35.04785,Unknown,Armed Assault,Firearms,Military,0,0
31,201708230030,8/23/17,Middle East & North Africa,Israel,Jerusalem,31.78004,35.21874,Unknown,Armed Assault,Melee,Private Citizens & Property,0,0
32,201708190020,8/19/17,Middle East & North Africa,West Bank and Gaza Strip,Tapuah,32.11939,35.24972,Palestinian Extremists,Armed Assault,Melee,Police,1,1
33,201708170021,8/17/17,Middle East & North Africa,West Bank and Gaza Strip,Rafah,31.2621,34.23593,Islamic State of Iraq and the Levant (ISIL) (suspected),Bombing/Explosion,Explosives/Bombs/Dynamite,Government (General),2,5
34,201708160033,8/16/17,Middle East & North Africa,West Bank and Gaza Strip,Bethlehem,31.70425,35.2063,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,0
35,201708090020,8/9/17,Middle East & North Africa,West Bank and Gaza Strip,Umm Safa,32.00912,35.16453,Israeli settlers,Facility/Infrastructure Attack,Incendiary,Private Citizens & Property,0,0
36,201708060052,8/6/17,Middle East & North Africa,West Bank and Gaza Strip,Jerusalem,31.78004,35.21874,Arab-Israeli extremists,Armed Assault,Incendiary,Private Citizens & Property,0,0
37,201708050017,8/5/17,Middle East & North Africa,West Bank and Gaza Strip,Ofra,31.95294,35.26175,Unknown,Armed Assault,Incendiary,Private Citizens & Property,0,0
38,201708050016,8/5/17,Middle East & North Africa,West Bank and Gaza Strip,Beit El,34.39325,36.05059,Palestinian Extremists,Armed Assault,Firearms,Military,0,0
39,201708020031,8/2/17,Middle East & North Africa,Israel,Yavneh,,,Palestinian Extremists,Armed Assault,Melee,Business,0,1
40,201707280025,7/28/17,Middle East & North Africa,West Bank and Gaza Strip,Alon Shvut,31.65562,35.12416,Palestinian Extremists,Armed Assault,Melee,Military,1,0
41,201707240013,7/24/17,Middle East & North Africa,Israel,Petah Tivka,32.09463,34.88576,Palestinian Extremists,Armed Assault,Melee,Private Citizens & Property,0,1
42,201707210030,7/21/17,Middle East & North Africa,West Bank and Gaza Strip,Halamish,32.00575,35.12584,Palestinian Extremists,Armed Assault,Melee,Private Citizens & Property,3,2
43,201707200023,7/20/17,Middle East & North Africa,West Bank and Gaza Strip,Tekoa,47.2268,-117.07351,Palestinian Extremists,Armed Assault,Melee,Military,1,0
44,201707180026,7/18/17,Middle East & North Africa,West Bank and Gaza Strip,Beit Einun,31.55749,35.12437,Palestinian Extremists,Unarmed Assault,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",Military,1,2
45,201707170032,7/17/17,Middle East & North Africa,Israel,Maghar,32.88688,35.41286,Unknown,Armed Assault,Firearms,Religious Figures/Institutions,0,0
46,201707170031,7/17/17,Middle East & North Africa,Israel,Maghar,32.88688,35.41286,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Religious Figures/Institutions,0,0
47,201707170020,7/17/17,Middle East & North Africa,West Bank and Gaza Strip,Hebron,31.53449,35.08619,Unknown,Unarmed Assault,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",Military,0,0
48,201707150025,7/15/17,Middle East & North Africa,Israel,Maghar,32.88688,35.41286,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Religious Figures/Institutions,0,0
49,201707140015,7/14/17,Middle East & North Africa,West Bank and Gaza Strip,Jerusalem,31.78004,35.21874,"Arab-Israeli extremists,Islamic Movement (Israel) (suspected)",Armed Assault,Firearms,Police,5,3
50,201707100022,7/10/17,Middle East & North Africa,West Bank and Gaza Strip,Tekoa,47.2268,-117.07351,Palestinian Extremists,Armed Assault,"Melee,Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",Military,1,1
51,201707050033,7/5/17,Middle East & North Africa,West Bank and Gaza Strip,Nabi Saleh,,,Palestinian Extremists,Armed Assault,Firearms,Military,0,0
52,201707040025,7/4/17,Middle East & North Africa,West Bank and Gaza Strip,Jerusalem,31.78004,35.21874,Palestinian Extremists,Armed Assault,"Explosives/Bombs/Dynamite,Incendiary,Melee",Police,0,0
53,201706200010,6/20/17,Middle East & North Africa,West Bank and Gaza Strip,Qalandiyah,12.69053,53.49,Palestinian Extremists,Armed Assault,Melee,Military,1,0
54,201706160031,6/16/17,Middle East & North Africa,West Bank and Gaza Strip,Jerusalem,31.78004,35.21874,"Hamas (Islamic Resistance Movement),Islamic State of Iraq and the Levant (ISIL) (suspected),Popular Front for the Liberation of Palestine (PFLP)",Armed Assault,"Firearms,Melee",Police,2,4
55,201706160018,6/16/17,Middle East & North Africa,West Bank and Gaza Strip,Jerusalem,31.78004,35.21874,"Hamas (Islamic Resistance Movement),Islamic State of Iraq and the Levant (ISIL) (suspected),Popular Front for the Liberation of Palestine (PFLP)",Armed Assault,Melee,Police,2,0
56,201706030040,6/3/17,Middle East & North Africa,Israel,Deir al-Assad,32.93719,35.26596,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
57,201706010018,6/1/17,Middle East & North Africa,West Bank and Gaza Strip,Mevo Dotan,32.42028,35.17557,Palestinian Extremists,Armed Assault,Melee,Military,1,1
58,201705240034,5/24/17,Middle East & North Africa,Israel,Ara,40.45188,44.3814,Unknown,Facility/Infrastructure Attack,Incendiary,Private Citizens & Property,0,0
59,201705230020,5/23/17,Middle East & North Africa,Israel,Netanya,32.3081,34.8548,Palestinian Extremists,Armed Assault,Melee,Police,1,2
60,201705220018,5/22/17,Middle East & North Africa,West Bank and Gaza Strip,Abu Dis,18.68632,33.64351,Palestinian Extremists,Armed Assault,Melee,Police,1,0
61,201705180052,5/19/17,Middle East & North Africa,West Bank and Gaza Strip,Burin,47.05044,-55.1631,Israeli settlers,Facility/Infrastructure Attack,Incendiary,Private Citizens & Property,0,0
62,201705130019,5/13/17,Middle East & North Africa,West Bank and Gaza Strip,Jerusalem,31.78004,35.21874,Jordanian extremists,Armed Assault,Melee,Police,1,2
63,201705120032,5/12/17,Middle East & North Africa,Israel,Migdal HaEmek,32.67922,35.24243,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown,0,0
64,201705070028,5/7/17,Middle East & North Africa,West Bank and Gaza Strip,Jerusalem,31.78004,35.21874,Palestinian Extremists,Armed Assault,Melee,Police,1,0
65,201704260029,4/26/17,Middle East & North Africa,West Bank and Gaza Strip,Hawara,30.86645,76.42436,Palestinian Extremists,Armed Assault,Melee,Military,0,1
66,201704260028,4/26/17,Middle East & North Africa,West Bank and Gaza Strip,Hawara,30.86645,76.42436,Israeli settlers,Facility/Infrastructure Attack,Incendiary,Private Citizens & Property,0,0
67,201704250010,4/25/17,Middle East & North Africa,West Bank and Gaza Strip,Hawara,30.86645,76.42436,Palestinian Extremists,Armed Assault,Melee,Military,0,1
68,201704230021,4/23/17,Middle East & North Africa,Israel,Tel Aviv,32.08557,34.78954,Palestinian Extremists,Armed Assault,Melee,Business,0,4
69,201704100015,4/10/17,Middle East & North Africa,Israel,Yevul,31.18947,34.31998,Sinai Province of the Islamic State,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
70,201704060033,4/6/17,Middle East & North Africa,West Bank and Gaza Strip,Israel,31.78004,35.21874,Hamas (Islamic Resistance Movement),Hostage Taking (Kidnapping),Melee,Private Citizens & Property,3,0
71,201704060025,4/6/17,Middle East & North Africa,West Bank and Gaza Strip,Ofra,31.95294,35.26175,Palestinian Extremists,Unarmed Assault,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",Military,1,2
72,201704020030,4/2/17,Middle East & North Africa,West Bank and Gaza Strip,Qalqilya,,,Palestinian Extremists,Armed Assault,Melee,Military,0,0
73,201703290017,3/29/17,Middle East & North Africa,West Bank and Gaza Strip,Jerusalem,31.78004,35.21874,Palestinian Extremists,Armed Assault,Melee,Police,1,0
74,201703270027,3/27/17,Middle East & North Africa,West Bank and Gaza Strip,Hawara,30.86645,76.42436,Palestinian Extremists,Armed Assault,Melee,Military,0,0
75,201703230016,3/23/17,Middle East & North Africa,West Bank and Gaza Strip,Beit El,34.39325,36.05059,Palestinian Extremists,Armed Assault,Incendiary,Private Citizens & Property,1,3
76,201703200039,3/20/17,Middle East & North Africa,West Bank and Gaza Strip,Jalame,,,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Police,0,0
77,201703150045,3/15/17,Middle East & North Africa,West Bank and Gaza Strip,Alon Shvut,31.65562,35.12416,Palestinian Extremists,Unarmed Assault,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)","Military,Transportation",0,1
78,201703130021,3/13/17,Middle East & North Africa,West Bank and Gaza Strip,Jerusalem,31.78004,35.21874,Palestinian Extremists,Armed Assault,Melee,Police,1,2
79,201703070020,3/7/17,Middle East & North Africa,West Bank and Gaza Strip,Israel,31.78004,35.21874,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,0
80,201703020010,3/2/17,Middle East & North Africa,Israel,Shaar HaNegev regional council district,,,Unknown,Armed Assault,Firearms,Military,0,0
81,201703010005,3/1/17,Middle East & North Africa,West Bank and Gaza Strip,Teneh Omarim,,,Palestinian Extremists,Armed Assault,Melee,Private Citizens & Property,1,1
82,201702220025,2/23/17,Middle East & North Africa,West Bank and Gaza Strip,Nablus,32.22112,35.26032,Palestinian Extremists,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,1
83,201702110007,2/11/17,Middle East & North Africa,West Bank and Gaza Strip,Hebron,31.53449,35.08619,Unknown,Armed Assault,Melee,Police,0,0
84,201702090014,2/9/17,Middle East & North Africa,Israel,Petah Tivka,32.09463,34.88576,Palestinian Extremists,Armed Assault,"Firearms,Melee",Private Citizens & Property,0,6
85,201702080020,2/8/17,Middle East & North Africa,Israel,Eilat,29.55004,34.95305,Sinai Province of the Islamic State,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
86,201702020031,2/2/17,Middle East & North Africa,West Bank and Gaza Strip,Geva Binyamin,31.84981,35.27627,Unknown,Unarmed Assault,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",Police,0,4
87,201701270029,1/27/17,Middle East & North Africa,West Bank and Gaza Strip,Nili,31.96374,35.04785,Palestinian Extremists,Armed Assault,Firearms,Private Citizens & Property,0,0
88,201701250019,1/25/17,Middle East & North Africa,West Bank and Gaza Strip,Abud,32.01594,35.06992,Palestinian Extremists,Armed Assault,Firearms,Military,0,1
89,201701240013,1/24/17,Middle East & North Africa,Israel,Metula,33.27804,35.57771,Unknown,Armed Assault,Firearms,Military,0,0
90,201701240012,1/24/17,Middle East & North Africa,Israel,Reim,31.38532,34.46072,Unknown,Armed Assault,Firearms,Military,0,0
91,201701230023,1/23/17,Middle East & North Africa,West Bank and Gaza Strip,Mughayir,32.01885,35.3478,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,1
92,201701200054,1/20/17,Middle East & North Africa,Israel,Daliyat al-Karmel,,,Unknown,Bombing/Explosion,"Explosives/Bombs/Dynamite,Explosives/Bombs/Dynamite",Unknown,0,0
93,201701170015,1/17/17,Middle East & North Africa,West Bank and Gaza Strip,Tulkarm,32.31743,35.0308,Palestinian Extremists,Armed Assault,Melee,Military,1,0
94,201701150038,1/15/17,Middle East & North Africa,Israel,Israel,31.78004,35.21874,Unknown,Armed Assault,Firearms,Military,0,0
95,201701100023,1/10/17,Middle East & North Africa,West Bank and Gaza Strip,Nablus,32.22112,35.26032,Palestinian Extremists,Armed Assault,"Explosives/Bombs/Dynamite,Firearms,Melee",Military,1,0
96,201701080001,1/8/17,Middle East & North Africa,West Bank and Gaza Strip,Jerusalem,31.78004,35.21874,"Groups of Martyr Baha Eleyan,Islamic State of Iraq and the Levant (ISIL) (suspected)",Unarmed Assault,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",Military,5,17
97,201701010001,1/1/17,Middle East & North Africa,Turkey,Istanbul,41.06071,28.98772,Islamic State of Iraq and the Levant (ISIL),Armed Assault,Firearms,"Business,Private Citizens & Property",39,69
98,201612300005,12/30/16,Middle East & North Africa,West Bank and Gaza Strip,Qalandiyah,12.69053,53.49,Palestinian Extremists,Armed Assault,Melee,Police,0,1
99,201612190018,12/19/16,Middle East & North Africa,West Bank and Gaza Strip,Ofarim,32.01873,35.04488,Unknown,Armed Assault,Firearms,Private Citizens & Property,0,1
100,201612190010,12/19/16,Middle East & North Africa,Israel,Israel,31.78004,35.21874,Palestinian Extremists,Armed Assault,Firearms,Military,0,0
101,201612140031,12/14/16,Middle East & North Africa,West Bank and Gaza Strip,Deir Abu Mashaal,31.99685,35.06622,Unknown,Armed Assault,Firearms,Private Citizens & Property,0,0
102,201612140030,12/14/16,Middle East & North Africa,West Bank and Gaza Strip,Jerusalem,31.78004,35.21874,Palestinian Extremists,Armed Assault,Melee,Police,1,2
103,201612130012,12/13/16,Middle East & North Africa,West Bank and Gaza Strip,Qalandiyah,12.69053,53.49,Unknown,Armed Assault,"Melee,Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",Police,0,0
104,201612080009,12/8/16,Middle East & North Africa,West Bank and Gaza Strip,Tapuah,32.11939,35.24972,Palestinian Extremists,Armed Assault,Melee,Police,1,0
105,201611280034,11/28/16,Middle East & North Africa,West Bank and Gaza Strip,Ofra,31.95294,35.26175,Unknown,Armed Assault,Firearms,Military,0,0
106,201611270004,11/27/16,Middle East & North Africa,Israel,Israel,31.78004,35.21874,Khaled Ibn al-Walid Army,Armed Assault,"Explosives/Bombs/Dynamite,Firearms",Military,4,0
107,201611250048,11/25/16,Middle East & North Africa,West Bank and Gaza Strip,Halamish,32.00575,35.12584,Palestinian Extremists (suspected),Facility/Infrastructure Attack,Incendiary,Private Citizens & Property,0,4
108,201611250047,11/25/16,Middle East & North Africa,Lebanon,Sour district,,,Unknown,Facility/Infrastructure Attack,Incendiary,Unknown,0,0
109,201611250045,11/25/16,Middle East & North Africa,Israel,Beit Meir,31.79417,35.03681,Palestinian Extremists (suspected),Facility/Infrastructure Attack,Incendiary,Private Citizens & Property,0,0
110,201611250019,11/25/16,Middle East & North Africa,West Bank and Gaza Strip,Jerusalem,31.78004,35.21874,Palestinian Extremists,Armed Assault,Melee,Military,1,0
111,201611240056,11/25/16,Middle East & North Africa,Israel,Kiryat Gat,31.60499,34.77416,Palestinian Extremists (suspected),Facility/Infrastructure Attack,Incendiary,Private Citizens & Property,0,0
112,201611230061,11/23/16,Middle East & North Africa,West Bank and Gaza Strip,Talmon,31.9376,35.13649,Palestinian Extremists (suspected),Facility/Infrastructure Attack,Incendiary,Private Citizens & Property,0,0
113,201611230060,11/23/16,Middle East & North Africa,West Bank and Gaza Strip,Dolev,31.92587,35.13335,Palestinian Extremists (suspected),Facility/Infrastructure Attack,Incendiary,Private Citizens & Property,0,0
114,201611230059,11/23/16,Middle East & North Africa,West Bank and Gaza Strip,Gevaot,,,Palestinian Extremists (suspected),Facility/Infrastructure Attack,Incendiary,Private Citizens & Property,0,0
115,201611230058,11/23/16,Middle East & North Africa,Israel,Nataf,31.83192,35.06744,Palestinian Extremists (suspected),Facility/Infrastructure Attack,Incendiary,Private Citizens & Property,0,0
116,201611220050,11/22/16,Middle East & North Africa,Israel,Haifa,32.80124,35.00327,Ma'sadat al-Mujahideen (suspected),Facility/Infrastructure Attack,Incendiary,Private Citizens & Property,0,100
117,201611220049,11/22/16,Middle East & North Africa,Israel,Zichron Yaakov,32.5686,34.95975,Ma'sadat al-Mujahideen (suspected),Facility/Infrastructure Attack,Incendiary,Private Citizens & Property,0,0
118,201611220028,11/22/16,Middle East & North Africa,West Bank and Gaza Strip,Qalandiyah,12.69053,53.49,Palestinian Extremists,Armed Assault,Melee,Military,1,0
119,201611140041,11/14/16,Middle East & North Africa,West Bank and Gaza Strip,Efrat,,,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,0
120,201611140021,11/14/16,Middle East & North Africa,West Bank and Gaza Strip,Al-Khader,31.69423,35.17091,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,0
121,201611090028,11/9/16,Middle East & North Africa,West Bank and Gaza Strip,Hawara,30.86645,76.42436,Palestinian Extremists,Armed Assault,Melee,Military,0,1
122,201611040046,11/4/16,Middle East & North Africa,West Bank and Gaza Strip,Hebron,31.53449,35.08619,Palestinian Extremists,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,0
123,201611030036,11/3/16,Middle East & North Africa,West Bank and Gaza Strip,Tulkarm,32.31743,35.0308,Palestinian Extremists,Armed Assault,Firearms,Military,0,1
124,201611030035,11/3/16,Middle East & North Africa,West Bank and Gaza Strip,Ofra,31.95294,35.26175,Palestinian Extremists,Armed Assault,Melee,Military,1,0
125,201611010089,11/1/16,Middle East & North Africa,Egypt,Israel,31.78004,35.21874,Unknown,Armed Assault,Firearms,Military,1,0
126,201610310022,10/31/16,Middle East & North Africa,West Bank and Gaza Strip,Beit El,34.39325,36.05059,Al-Aqsa Martyrs Brigade,Armed Assault,Firearms,Military,1,3
127,201610300016,10/30/16,Middle East & North Africa,West Bank and Gaza Strip,Bayt Umar,,,Palestinian Extremists,Unarmed Assault,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",Police,1,3
128,201610290019,10/29/16,Middle East & North Africa,West Bank and Gaza Strip,Karmei Tzur,31.6087,35.10066,Palestinian Extremists,Armed Assault,Firearms,Private Citizens & Property,0,0
129,201610280016,10/28/16,Middle East & North Africa,West Bank and Gaza Strip,Ofra,31.95294,35.26175,Palestinian Extremists,Armed Assault,"Melee,Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",Military,0,1
130,201610260050,10/26/16,Middle East & North Africa,Israel,Metula,33.27804,35.57771,Unknown,Armed Assault,Firearms,Military,0,1
131,201610190037,10/19/16,Middle East & North Africa,West Bank and Gaza Strip,Tapuah,32.11939,35.24972,Palestinian Extremists,Armed Assault,Melee,Police,1,0
132,201610150022,10/15/16,Middle East & North Africa,West Bank and Gaza Strip,Har Adar,31.82767,35.12869,Unknown,Armed Assault,Melee,Police,0,1
133,201610090012,10/9/16,Middle East & North Africa,West Bank and Gaza Strip,Jerusalem,31.78004,35.21874,Hamas (Islamic Resistance Movement),Armed Assault,Firearms,"Police,Transportation",3,4
134,201610050045,10/5/16,Middle East & North Africa,Israel,Sderot,31.52611,34.59753,Ahfad al-Sahaba-Aknaf Bayt al-Maqdis,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
135,201609300016,9/30/16,Middle East & North Africa,West Bank and Gaza Strip,Qalandiyah,12.69053,53.49,Palestinian Extremists,Armed Assault,Melee,Military,1,1
136,201609230010,9/23/16,Middle East & North Africa,West Bank and Gaza Strip,Kiryat Arba,31.54298,35.12239,Palestinian Extremists,Armed Assault,Melee,Military,0,1
137,201609210010,9/21/16,Middle East & North Africa,Turkey,Ankara,39.92109,32.85393,Unknown,Armed Assault,Melee,"Police,Government (Diplomatic)",0,1
138,201609200032,9/20/16,Middle East & North Africa,Israel,Jerusalem,31.78004,35.21874,Unknown,Armed Assault,Incendiary,Military,0,0
139,201609200005,9/20/16,Middle East & North Africa,West Bank and Gaza Strip,Bani Naim,31.52094,35.16166,Palestinian Extremists,Armed Assault,Melee,Military,1,0
140,201609190009,9/19/16,Middle East & North Africa,West Bank and Gaza Strip,Hebron,31.53449,35.08619,Palestinian Extremists,Armed Assault,Melee,Military,0,0
141,201609190008,9/19/16,Middle East & North Africa,West Bank and Gaza Strip,Hebron,31.53449,35.08619,Palestinian Extremists,Armed Assault,Melee,Police,2,1
142,201609190007,9/19/16,Middle East & North Africa,West Bank and Gaza Strip,Jerusalem,31.78004,35.21874,Palestinian Extremists,Armed Assault,Melee,Police,0,3
143,201609180012,9/18/16,Middle East & North Africa,West Bank and Gaza Strip,Efrat,,,Palestinian Extremists,Armed Assault,Melee,Military,0,2
144,201609170012,9/17/16,Middle East & North Africa,West Bank and Gaza Strip,Hebron,31.53449,35.08619,Palestinian Extremists,Armed Assault,Melee,Military,1,1
145,201609160008,9/16/16,Middle East & North Africa,West Bank and Gaza Strip,Hebron,31.53449,35.08619,Palestinian Extremists,Armed Assault,Melee,Military,1,1
146,201609160007,9/16/16,Middle East & North Africa,West Bank and Gaza Strip,Kiryat Arba,31.54298,35.12239,Palestinian Extremists,Unarmed Assault,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",Transportation,1,4
147,201609160006,9/16/16,Middle East & North Africa,West Bank and Gaza Strip,Jerusalem,31.78004,35.21874,Palestinian Extremists,Armed Assault,Melee,Police,1,0
148,201609050086,9/5/16,Middle East & North Africa,Israel,Israel,31.78004,35.21874,Unknown,Armed Assault,Firearms,Military,0,0
149,201609030052,9/3/16,Middle East & North Africa,Israel,Israel,31.78004,35.21874,Palestinian Extremists,Armed Assault,Firearms,Military,0,0
150,201608240045,8/24/16,Middle East & North Africa,West Bank and Gaza Strip,Yitzhar,32.16984,35.23434,Palestinian Extremists,Armed Assault,Melee,Military,1,1
151,201608210017,8/21/16,Middle East & North Africa,Israel,Sderot,31.52611,34.59753,"Ahfad al-Sahaba-Aknaf Bayt al-Maqdis,Popular Front for the Liberation of Palestine (PFLP)",Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
152,201608140035,8/14/16,Middle East & North Africa,West Bank and Gaza Strip,Shaked,32.47367,35.17262,Palestinian Extremists,Armed Assault,Melee,Military,0,1
153,201608110046,8/11/16,Middle East & North Africa,West Bank and Gaza Strip,Jerusalem,31.78004,35.21874,Palestinian Extremists,Armed Assault,Melee,Private Citizens & Property,0,1
154,201608040051,8/4/16,Middle East & North Africa,Israel,Jerusalem,31.78004,35.21874,Palestinian Extremists,Armed Assault,Melee,Transportation,0,0
155,201608030039,8/3/16,Middle East & North Africa,West Bank and Gaza Strip,Beit El,34.39325,36.05059,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,0
156,201607310032,7/31/16,Middle East & North Africa,West Bank and Gaza Strip,Nablus,32.22112,35.26032,Palestinian Extremists,Armed Assault,Melee,Military,1,0
157,201607260030,7/26/16,Middle East & North Africa,West Bank and Gaza Strip,Qalandiyah,12.69053,53.49,Palestinian Extremists,Armed Assault,Melee,Military,0,1
