country,date,injuries,,,,
Turkey,1997,108,,,,
Turkey,1998,108,,,,
Turkey,1999,271,,,,
Turkey,2000,27,,,,
Turkey,2001,40,,,,
Turkey,2002,0,,,,
Turkey,2003,778,,,,
Turkey,2004,92,,,,
Turkey,2005,140,,,,
Turkey,2006,316,,,,
Turkey,2007,122,,,,
Turkey,2008,274,,,,
Turkey,2009,48,,,,
Turkey,2010,7,,,,
Turkey,2011,110,,,,
Turkey,2012,463,,,,
Turkey,2013,192,,,,
Turkey,2014,89,,,,
Turkey,2015,1103,,,,
Turkey,2016,2772,,,,
Turkey,2017,328,,,,
Egypt,1970,2,,,,
Egypt,1971,0,,,,
Egypt,1972,0,,,,
Egypt,1977,0,,,,
Egypt,1978,0,,,,
Egypt,1979,4,,,,
Egypt,1980,10,,,,
Egypt,1981,89,,,,
Egypt,1982,3,,,,
Egypt,1985,2,,,,
Egypt,1986,21,,,,
Egypt,1987,12,,,,
Egypt,1988,17,,,,
Egypt,1989,1,,,,
Egypt,1990,32,,,,
Egypt,1991,13,,,,
Egypt,1992,121,,,,
Egypt,1994,148,,,,
Egypt,1995,135,,,,
Egypt,1996,63,,,,
Egypt,1997,47,,,,
Egypt,1998,15,,,,
Egypt,1999,1,,,,
Egypt,2004,171,,,,
Egypt,2005,117,,,,
Egypt,2006,100,,,,
Egypt,2008,0,,,,
Egypt,2009,25,,,,
Egypt,2010,0,,,,
Egypt,2011,109,,,,
Egypt,2012,87,,,,
Egypt,2013,623,,,,
Egypt,2014,548,,,,
Egypt,2015,1047,,,,
Egypt,2016,633,,,,
Egypt,2017,626,,,,
Syria,1974,9,,,,
Syria,1975,0,,,,
Syria,1976,35,,,,
Syria,1977,0,,,,
Syria,1978,0,,,,
Syria,1979,31,,,,
Syria,1980,27,,,,
Syria,1981,223,,,,
Syria,1982,23,,,,
Syria,1983,0,,,,
Syria,1984,1,,,,
Syria,1985,30,,,,
Syria,1986,8,,,,
Syria,1989,0,,,,
Syria,1996,50,,,,
Syria,1997,0,,,,
Syria,1998,0,,,,
Syria,2004,2,,,,
Syria,2006,0,,,,
Syria,2008,14,,,,
Syria,2011,215,,,,
Syria,2012,1927,,,,
Syria,2013,2237,,,,
Syria,2014,2014,,,,
Syria,2015,2978,,,,
Syria,2016,2982,,,,
Syria,2017,1303,,,,
Lebanon,1970,0,,,,
Lebanon,1971,0,,,,
Lebanon,1972,0,,,,
Lebanon,1973,0,,,,
Lebanon,1974,10,,,,
Lebanon,1975,29,,,,
Lebanon,1976,1,,,,
Lebanon,1977,1,,,,
Lebanon,1978,173,,,,
Lebanon,1979,94,,,,
Lebanon,1980,267,,,,
Lebanon,1981,745,,,,
Lebanon,1982,459,,,,
Lebanon,1983,1005,,,,
Lebanon,1984,241,,,,
Lebanon,1985,1530,,,,
Lebanon,1986,1018,,,,
Lebanon,1987,338,,,,
Lebanon,1988,601,,,,
Lebanon,1989,364,,,,
Lebanon,1990,191,,,,
Lebanon,1991,386,,,,
Lebanon,1992,116,,,,
Lebanon,1994,127,,,,
Lebanon,1995,72,,,,
Lebanon,1996,70,,,,
Lebanon,1997,50,,,,
Lebanon,1998,48,,,,
Lebanon,1999,48,,,,
Lebanon,2000,12,,,,
Lebanon,2001,3,,,,
Lebanon,2002,4,,,,
Lebanon,2003,1,,,,
Lebanon,2004,2,,,,
Lebanon,2005,58,,,,
Lebanon,2006,10,,,,
Lebanon,2007,148,,,,
Lebanon,2008,490,,,,
Lebanon,2009,21,,,,
Lebanon,2010,6,,,,
Lebanon,2011,23,,,,
Lebanon,2012,92,,,,
Lebanon,2013,1048,,,,
Lebanon,2014,532,,,,
Lebanon,2015,347,,,,
Lebanon,2016,74,,,,
Lebanon,2017,49,,,,
Jordan,1970,1,,,,
Jordan,1971,0,,,,
Jordan,1972,0,,,,
Jordan,1973,0,,,,
Jordan,1976,5,,,,
Jordan,1980,0,,,,
Jordan,1981,2,,,,
Jordan,1982,6,,,,
Jordan,1983,1,,,,
Jordan,1984,4,,,,
Jordan,1988,0,,,,
Jordan,1990,5,,,,
Jordan,1991,8,,,,
Jordan,1992,0,,,,
Jordan,1994,7,,,,
Jordan,1995,2,,,,
Jordan,1996,1,,,,
Jordan,1997,4,,,,
Jordan,1998,0,,,,
Jordan,1999,1,,,,
Jordan,2000,2,,,,
Jordan,2001,0,,,,
Jordan,2002,0,,,,
Jordan,2005,101,,,,
Jordan,2006,6,,,,
Jordan,2010,4,,,,
Jordan,2012,16,,,,
Jordan,2013,0,,,,
Jordan,2014,7,,,,
Jordan,2015,11,,,,
Jordan,2016,65,,,,
Jordan,2017,1,,,,
Palestine,1972,3,,,,
Palestine,1976,0,,,,
Palestine,1978,37,,,,
Palestine,1979,25,,,,
Palestine,1980,70,,,,
Palestine,1981,57,,,,
Palestine,1982,36,,,,
Palestine,1983,22,,,,
Palestine,1984,48,,,,
Palestine,1985,2,,,,
Palestine,1986,24,,,,
Palestine,1987,7,,,,
Palestine,1988,13,,,,
Palestine,1989,30,,,,
Palestine,1990,28,,,,
Palestine,1991,50,,,,
Palestine,1992,183,,,,
Palestine,1994,387,,,,
Palestine,1995,129,,,,
Palestine,1996,31,,,,
Palestine,1997,29,,,,
Palestine,1998,26,,,,
Palestine,1999,12,,,,
Palestine,2000,48,,,,
Palestine,2001,182,,,,
Palestine,2002,262,,,,
Palestine,2003,95,,,,
Palestine,2004,60,,,,
Palestine,2005,48,,,,
Palestine,2006,19,,,,
Palestine,2007,351,,,,
Palestine,2008,91,,,,
Palestine,2009,3,,,,
Palestine,2010,16,,,,
Palestine,2011,11,,,,
Palestine,2012,20,,,,
Palestine,2013,27,,,,
Palestine,2014,94,,,,
Palestine,2015,239,,,,
Palestine,2016,124,,,,
Palestine,2017,75,,,,
