country,date,fatalities,,,,
Saudi Arabia,2009,5,,,,
Saudi Arabia,2011,3,,,,
Saudi Arabia,2012,4,,,,
Saudi Arabia,2013,1,,,,
Saudi Arabia,2014,20,,,,
Saudi Arabia,2015,213,,,,
Saudi Arabia,2016,162,,,,
Saudi Arabia,2017,31,,,,
Turkey,1970,0,,,,
Turkey,1971,1,,,,
Turkey,1972,3,,,,
Turkey,1974,0,,,,
Turkey,1975,0,,,,
Turkey,1976,7,,,,
Turkey,1977,29,,,,
Turkey,1978,40,,,,
Turkey,1979,123,,,,
Turkey,1980,111,,,,
Turkey,1981,11,,,,
Turkey,1982,9,,,,
Turkey,1983,2,,,,
Turkey,1984,27,,,,
Turkey,1985,1,,,,
Turkey,1986,26,,,,
Turkey,1987,187,,,,
Turkey,1988,102,,,,
Turkey,1989,232,,,,
Turkey,1990,512,,,,
Turkey,1991,308,,,,
Turkey,1992,1233,,,,
Turkey,1994,982,,,,
Turkey,1995,189,,,,
Turkey,1996,117,,,,
Turkey,1997,60,,,,
Turkey,1998,37,,,,
Turkey,1999,127,,,,
Turkey,2000,12,,,,
Turkey,2001,17,,,,
Turkey,2002,0,,,,
Turkey,2003,67,,,,
Turkey,2004,25,,,,
Turkey,2005,35,,,,
Turkey,2006,46,,,,
Turkey,2007,25,,,,
Turkey,2008,42,,,,
Turkey,2009,18,,,,
Turkey,2010,13,,,,
Turkey,2011,25,,,,
Turkey,2012,247,,,,
Turkey,2013,83,,,,
Turkey,2014,39,,,,
Turkey,2015,490,,,,
Turkey,2016,1006,,,,
Turkey,2017,222,,,,
Egypt,1970,0,,,,
Egypt,1971,1,,,,
Egypt,1972,0,,,,
Egypt,1977,1,,,,
Egypt,1978,2,,,,
Egypt,1979,1,,,,
Egypt,1980,1,,,,
Egypt,1981,67,,,,
Egypt,1982,0,,,,
Egypt,1985,2,,,,
Egypt,1986,12,,,,
Egypt,1987,1,,,,
Egypt,1988,1,,,,
Egypt,1989,1,,,,
Egypt,1990,21,,,,
Egypt,1991,8,,,,
Egypt,1992,49,,,,
Egypt,1994,173,,,,
Egypt,1995,134,,,,
Egypt,1996,97,,,,
Egypt,1997,165,,,,
Egypt,1998,9,,,,
Egypt,1999,1,,,,
Egypt,2004,37,,,,
Egypt,2005,92,,,,
Egypt,2006,19,,,,
Egypt,2008,0,,,,
Egypt,2009,1,,,,
Egypt,2010,0,,,,
Egypt,2011,28,,,,
Egypt,2012,44,,,,
Egypt,2013,243,,,,
Egypt,2014,343,,,,
Egypt,2015,829,,,,
Egypt,2016,609,,,,
Egypt,2017,877,,,,
Syria,1974,1,,,,
Syria,1975,0,,,,
Syria,1976,5,,,,
Syria,1977,1,,,,
Syria,1978,0,,,,
Syria,1979,80,,,,
Syria,1980,89,,,,
Syria,1981,192,,,,
Syria,1982,98,,,,
Syria,1983,1,,,,
Syria,1984,0,,,,
Syria,1985,30,,,,
Syria,1986,8,,,,
Syria,1989,0,,,,
Syria,1996,15,,,,
Syria,1997,2,,,,
Syria,1998,0,,,,
Syria,2004,4,,,,
Syria,2006,5,,,,
Syria,2008,18,,,,
Syria,2011,163,,,,
Syria,2012,877,,,,
Syria,2013,1568,,,,
Syria,2014,3312,,,,
Syria,2015,3924,,,,
Syria,2016,2810,,,,
Syria,2017,2026,,,,
Lebanon,1970,0,,,,
Lebanon,1971,0,,,,
Lebanon,1972,0,,,,
Lebanon,1973,4,,,,
Lebanon,1974,0,,,,
Lebanon,1975,28,,,,
Lebanon,1976,4,,,,
Lebanon,1977,3,,,,
Lebanon,1978,107,,,,
Lebanon,1979,33,,,,
Lebanon,1980,90,,,,
Lebanon,1981,264,,,,
Lebanon,1982,234,,,,
Lebanon,1983,615,,,,
Lebanon,1984,61,,,,
Lebanon,1985,644,,,,
Lebanon,1986,247,,,,
Lebanon,1987,178,,,,
Lebanon,1988,176,,,,
Lebanon,1989,113,,,,
Lebanon,1990,113,,,,
Lebanon,1991,98,,,,
Lebanon,1992,79,,,,
Lebanon,1994,57,,,,
Lebanon,1995,35,,,,
Lebanon,1996,57,,,,
Lebanon,1997,36,,,,
Lebanon,1998,17,,,,
Lebanon,1999,23,,,,
Lebanon,2000,12,,,,
Lebanon,2001,0,,,,
Lebanon,2002,2,,,,
Lebanon,2003,3,,,,
Lebanon,2004,1,,,,
Lebanon,2005,22,,,,
Lebanon,2006,17,,,,
Lebanon,2007,40,,,,
Lebanon,2008,142,,,,
Lebanon,2009,17,,,,
Lebanon,2010,2,,,,
Lebanon,2011,1,,,,
Lebanon,2012,9,,,,
Lebanon,2013,190,,,,
Lebanon,2014,134,,,,
Lebanon,2015,111,,,,
Lebanon,2016,25,,,,
Lebanon,2017,17,,,,
Jordan,1970,1,,,,
Jordan,1971,0,,,,
Jordan,1972,2,,,,
Jordan,1973,0,,,,
Jordan,1976,9,,,,
Jordan,1980,1,,,,
Jordan,1981,0,,,,
Jordan,1982,0,,,,
Jordan,1983,0,,,,
Jordan,1984,1,,,,
Jordan,1988,0,,,,
Jordan,1990,0,,,,
Jordan,1991,1,,,,
Jordan,1992,1,,,,
Jordan,1994,0,,,,
Jordan,1995,1,,,,
Jordan,1996,0,,,,
Jordan,1997,0,,,,
Jordan,1998,0,,,,
Jordan,1999,0,,,,
Jordan,2000,0,,,,
Jordan,2001,1,,,,
Jordan,2002,3,,,,
Jordan,2005,62,,,,
Jordan,2006,1,,,,
Jordan,2010,1,,,,
Jordan,2012,1,,,,
Jordan,2013,0,,,,
Jordan,2014,1,,,,
Jordan,2015,7,,,,
Jordan,2016,35,,,,
Jordan,2017,4,,,,
Palestine,1972,1,,,,
Palestine,1976,2,,,,
Palestine,1978,6,,,,
Palestine,1979,2,,,,
Palestine,1980,31,,,,
Palestine,1981,6,,,,
Palestine,1982,7,,,,
Palestine,1983,9,,,,
Palestine,1984,5,,,,
Palestine,1985,0,,,,
Palestine,1986,4,,,,
Palestine,1987,3,,,,
Palestine,1988,10,,,,
Palestine,1989,72,,,,
Palestine,1990,62,,,,
Palestine,1991,43,,,,
Palestine,1992,93,,,,
Palestine,1994,129,,,,
Palestine,1995,43,,,,
Palestine,1996,17,,,,
Palestine,1997,9,,,,
Palestine,1998,12,,,,
Palestine,1999,1,,,,
Palestine,2000,21,,,,
Palestine,2001,105,,,,
Palestine,2002,177,,,,
Palestine,2003,60,,,,
Palestine,2004,31,,,,
Palestine,2005,20,,,,
Palestine,2006,20,,,,
Palestine,2007,112,,,,
Palestine,2008,17,,,,
Palestine,2009,7,,,,
Palestine,2010,0,,,,
Palestine,2011,15,,,,
Palestine,2012,12,,,,
Palestine,2013,12,,,,
Palestine,2014,67,,,,
Palestine,2015,117,,,,
Palestine,2016,90,,,,
Palestine,2017,50,,,,
